s,x,y,yaw,curvature
147.0,-4.534918870034786,133.61778431771063,-1.6151819540931498,0.09346015826919671
148.0,-4.533814013501783,132.62837382829764,-1.5249331374640134,0.08888603751164854
149.0,-4.445395985810073,131.63999982645214,-1.4389679161246787,0.08436104353040716
150.0,-4.273664948660254,130.65822589896402,-1.3569843942538091,0.08018784134914411
151.0,-4.022621063752928,129.68861563262337,-1.2785147707382833,0.07657180411021546
152.0,-3.696264492788697,128.73673261421993,-1.202981179463511,0.0736416189070613
153.0,-3.2985953974681648,127.80814043054384,-1.1297374084407716,0.07147233916571565
154.0,-2.8336139394919284,126.9084026683849,-1.0580971668448653,0.07010549707424894
155.0,-2.305320280560591,126.04308291453306,-0.9873514921793004,0.06956414876721188
156.0,-1.7177145823747555,125.21774475577831,-0.9167785396984868,0.06986246451543184
157.0,-1.074797006635021,124.43795177891053,-0.8456490542872304,0.07101005967143398
158.0,-0.38056771504199083,123.70926757071969,-0.7732307556148788,0.07301116141350071
159.0,0.3609728478307346,123.0371038061338,-0.6993961451779025,0.07371010765037735
160.0,1.145819693172896,122.42443175943122,-0.6263621481906693,0.072945093679859
161.0,1.9699641674542447,121.87225463286646,-0.5543872437362606,0.07212795454016156
162.0,2.829397512730284,121.38151955489859,-0.48338795664988604,0.07133113269954364
163.0,3.7201109710565223,120.95317365398698,-0.4132360705316845,0.07061350275840554
164.0,4.6380957844884625,120.5881640585907,-0.34376864666317436,0.0700196790068733
165.0,5.579343195081609,120.28743789716893,-0.27479785360576625,0.0695801213983793
166.0,6.539844444891468,120.0519422981809,-0.20612037830302335,0.06931161612869483
167.0,7.5155907759735445,119.88262439008575,-0.13752639375212353,0.0692178192702272
168.0,8.50257343038334,119.78043130134266,-0.06880819118754053,0.06928968259922844
169.0,9.496783650176368,119.7463101604109,0.00023135503287457032,0.06950571151952246
170.0,10.494212677408122,119.78120809574953,0.06977033086881408,0.06983212835949335
171.0,11.490851754134116,119.88607223581785,0.13995924990550956,0.07022312662252546
172.0,12.481870511049054,120.06176414519904,0.21118668850483374,0.07154910798290717
173.0,13.458720681292286,120.30875820088316,0.28460595415039214,0.07440060572528533
174.0,14.411802865747639,120.62741931332411,0.3614475466674335,0.07873693942394472
175.0,15.331517600716376,121.01811238624984,0.4429140176095415,0.08451173770882958
176.0,16.208265422499775,121.48120232338835,0.5301492924457056,0.09160598010869285
177.0,17.032446867399102,122.01705402846773,0.6241650410355853,0.0997458117249814
178.0,17.795952590331215,122.62500208046279,0.7198389947239378,0.09500577707775242
179.0,18.498199994384304,123.29917677805089,0.8090472530106604,0.08808864247974298
180.0,19.140977490103122,124.03206901506819,0.8913852733860903,0.08078250913173866
181.0,19.726074371662726,124.81616907437505,0.9669102899189184,0.07364350046767583
182.0,20.255279933238196,125.64396723883195,1.0359766027508301,0.06703569774893717
183.0,20.7303834690046,126.5079537912993,1.0991226335841873,0.06116423200587671
184.0,21.153409030706914,127.4007811852322,1.15626251891735,0.05367529257150741
185.0,21.529514376520464,128.31726663936024,1.2050088153182201,0.04471882242404716
186.0,21.86608937487564,129.25376931479872,1.2450655436413567,0.03581533792723768
187.0,22.1705718009309,130.20668146664383,1.2765309674480259,0.02714331122943677
188.0,22.450399429844765,131.17239534999203,1.2995801747218192,0.018758890756983428
189.0,22.71301003677571,132.1473032199396,1.314396896267231,0.010633170640475203
190.0,22.965841396882233,133.127797331583,1.3211274714499246,0.0026846994594916613
191.0,23.216331285322806,134.11026994001844,1.3198537664793653,-0.005194578635051872
192.0,23.471917477255936,135.09111330034233,1.3105818935027451,-0.013118194412450856
193.0,23.740037747840102,136.06671966765097,1.2932449585738302,-0.021185629004305255
194.0,24.028129872233798,137.03348129704074,1.2677199077991657,-0.02946097423164515
195.0,24.34363162559552,137.98779044360802,1.2338602461323909,-0.037947099399948274
196.0,24.69398078308374,138.92603936244905,1.1915473531004177,-0.04655470796111841
197.0,25.08642977557953,139.84461020565743,1.1416711178645478,-0.05176902435825524
198.0,25.524725344566743,140.7396940323499,1.0887859280853047,-0.054397739871919495
199.0,26.00948382080225,141.60731126487605,1.0332923080324767,-0.05730460427577469
200.0,26.541211548249535,142.44347633027306,0.9749682789243024,-0.060427657906663365
201.0,27.120414870872096,143.24420365557805,0.9136414598902909,-0.06367821138295131
202.0,27.747600132633433,144.00550766782814,0.849207834871207,-0.06693597838012638
203.0,28.42327367749703,144.7234027940604,0.7816530187318099,-0.07004712147424301
204.0,29.147941849426367,145.39390346131196,0.711073989317605,-0.07282739711574208
205.0,29.922110992384965,146.01302409661997,0.6376980726233383,-0.07507248977105582
206.0,30.746287450336297,146.5767791270215,0.5618949799424452,-0.07657656076260368
207.0,31.620977567243852,147.08118297955366,0.48417740826176503,-0.07715780353520968
208.0,32.54668768707115,147.52225008125365,0.4051866525491871,-0.07668680341045632
208.8480597507446,33.37210280693417,147.8437035547781,0.3377482573084912,-0.0754211345910501
